City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Banjar,ID,78.8,Clouds,-8.19,114.97,The Hamsa Resort
8,Sakaiminato,JP,89.6,Clouds,35.55,133.23,味処・民宿 まつや
10,Tuy Hoa,VN,87.31,Clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
11,Hambantota,LK,77.0,Clouds,6.12,81.12,Bungalow 63
21,Roma,US,84.2,Clouds,43.21,-75.46,Wingate By Wyndham Rome
22,Hami,CN,89.98,Clouds,42.8,93.45,Laoyutang Resort
26,Georgetown,MY,86.0,Clouds,5.41,100.34,Cititel Penang
29,Weihai,CN,82.94,Rain,37.5,122.11,Beihai Travel Resort
30,Dandong,CN,79.12,Clouds,40.13,124.39,Yiranju Farmstay
31,Avarua,CK,75.2,Clouds,-21.21,-159.78,Paradise Inn
32,Isangel,VU,75.2,Clouds,-19.55,169.27,Volcano Sea View Tree House
35,Tual,ID,77.49,Clouds,-5.67,132.75,Grand Vilia Hotel
36,Cabo San Lucas,MX,87.8,Clear,22.89,-109.91,Hotel Tesoro Los Cabos
44,Katherine,AU,80.6,Clouds,-14.47,132.27,Pine Tree Motel
46,Mount Isa,AU,78.8,Clear,-20.73,139.5,ibis Styles Mt Isa Verona
48,San Patricio,MX,89.6,Clouds,19.22,-104.7,Hotel Cabo Blanco
49,Mehriz,IR,82.4,Clouds,31.59,54.43,Mehrgard dwelling/سرای مهرگرد
53,Alofi,NU,77.0,Clouds,-19.06,-169.92,Taloa Heights
56,Kapaa,US,82.4,Clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
58,Bengkulu,ID,79.86,Clouds,-3.8,102.27,Grage Hotel Bengkulu
59,Dhar,IN,77.41,Rain,22.6,75.3,Hotel Shrinath Residency
65,Butaritari,KI,82.9,Clouds,3.07,172.79,Isles Sunset Lodge
66,Caucaia,BR,80.6,Clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
68,Lorengau,PG,84.33,Rain,-2.02,147.27,Lorengau Harbourside Hotel
69,Canto Do Buriti,BR,75.96,Clear,-8.11,-42.94,Novo Hotel
78,Hilo,US,84.2,Clear,19.73,-155.09,Hilo Hawaiian Hotel
80,Tezu,IN,88.79,Clear,27.92,96.17,Circuit House
83,Manavalakurichi,IN,77.0,Mist,8.13,77.3,Udaya Boys Hostel
87,Fomboni,KM,77.29,Clear,-12.28,43.74,Auberge les abou
