City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yuksekova,TR,37.57,44.29,64.4,45,0,2.24,Clear
1,Ribeira Grande,PT,38.52,-28.7,71.69,83,0,9.73,Clear
2,Atuona,PF,-9.8,-139.03,78.69,74,9,17.63,Clear
3,Busselton,AU,-33.65,115.33,55.0,68,13,5.01,Rain
4,Quito,EC,-0.23,-78.52,50.0,76,70,4.7,Clouds
5,Havoysund,NO,71.0,24.66,51.8,93,90,6.93,Clouds
6,Vaini,TO,-21.2,-175.2,75.2,88,20,9.17,Clouds
7,Punta Arenas,CL,-53.15,-70.92,39.2,80,100,18.34,Rain
8,Bollnas,SE,61.35,16.39,60.01,98,23,1.99,Clouds
9,Cape Town,ZA,-33.93,18.42,57.99,93,75,10.29,Clouds
10,Lebu,CL,-37.62,-73.65,50.22,95,100,8.99,Clouds
11,Talnakh,RU,69.49,88.4,68.0,64,40,8.95,Clouds
12,Albany,US,42.6,-73.97,77.0,90,4,4.25,Clear
13,Beaverlodge,CA,55.22,-119.44,66.2,88,90,2.24,Rain
14,Hermanus,ZA,-34.42,19.23,57.29,67,2,10.8,Clear
15,Palani,IN,10.47,77.53,86.83,50,100,13.62,Clouds
16,San Patricio,MX,19.22,-104.7,81.28,84,97,5.64,Clouds
17,Vao,NC,-22.67,167.48,68.11,66,19,13.2,Clouds
18,Castro,BR,-24.79,-50.01,48.52,96,0,3.36,Clear
19,Namibe,AO,-15.2,12.15,66.88,69,0,6.35,Clear
20,Pacific Grove,US,36.62,-121.92,61.0,92,0,1.01,Clear
21,Atar,MR,20.52,-13.05,92.68,13,0,8.77,Clear
22,Herat,AF,34.5,62.0,86.0,20,0,2.24,Clear
23,Oranjemund,NA,-28.55,16.43,60.26,45,0,6.42,Clear
24,Rikitea,PF,-23.12,-134.97,72.97,81,100,17.07,Clouds
25,Ushuaia,AR,-54.8,-68.3,41.0,56,75,20.8,Clouds
26,Barrow,US,71.29,-156.79,33.8,86,90,11.41,Mist
27,Mataura,NZ,-46.19,168.86,52.21,88,99,0.78,Clouds
28,Carballo,ES,43.21,-8.69,57.2,93,40,5.82,Clouds
29,Berlevag,NO,70.86,29.09,48.2,93,75,13.87,Drizzle
30,Sungaipenuh,ID,-2.08,101.38,80.67,56,91,3.69,Clouds
31,Zyryanka,RU,65.75,150.85,68.41,39,58,10.94,Clouds
32,Mahebourg,MU,-20.41,57.7,69.8,64,75,17.22,Clouds
33,Yellowknife,CA,62.46,-114.35,77.0,82,40,5.82,Clouds
34,Upernavik,GL,72.79,-56.15,43.54,71,73,2.35,Clouds
35,Mahibadhoo,MV,3.78,72.97,83.1,78,100,12.75,Clouds
36,Kodiak,US,57.79,-152.41,62.6,63,75,8.05,Clouds
37,Klaksvik,FO,62.23,-6.59,50.0,93,100,10.29,Drizzle
38,Selenduma,RU,50.91,106.24,67.19,62,97,4.0,Clouds
39,Rio Grande,BR,-32.03,-52.1,62.73,91,67,4.68,Clouds
40,Kyshtovka,RU,56.55,76.63,79.57,64,0,5.32,Clear
41,Ketchikan,US,55.34,-131.65,57.2,100,90,6.93,Clouds
42,Lovington,US,32.94,-103.35,70.0,82,90,12.75,Rain
43,Ciudad Bolivar,VE,8.12,-63.55,79.59,78,93,4.59,Rain
44,Port Alfred,ZA,-33.59,26.89,69.8,24,0,16.53,Clear
45,Ajdabiya,LY,30.76,20.23,75.22,82,0,7.09,Clear
