City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barrow,US,71.29,-156.79,37.4,86,90,11.41
1,Tuktoyaktuk,CA,69.45,-133.04,48.2,100,90,10.29
2,Fortuna,US,40.6,-124.16,69.01,1,1,7.0
3,Albany,US,42.6,-73.97,82.99,92,9,5.93
4,Luanda,AO,-8.84,13.23,73.4,83,74,4.7
5,La Carolina,ES,38.28,-3.62,66.06,35,12,1.95
6,Ushuaia,AR,-54.8,-68.3,39.2,60,100,6.93
7,Graciano Sanchez,MX,23.92,-99.28,75.72,81,67,4.18
8,Bluff,NZ,-46.6,168.33,51.24,82,100,4.68
9,Lagoa,PT,39.05,-27.98,71.37,77,1,3.58
10,Superior,US,46.72,-92.1,64.4,72,90,8.1
11,Carnarvon,AU,-24.87,113.63,62.6,72,23,10.29
12,Tigil,RU,57.8,158.67,67.28,45,92,10.51
13,Amapa,BR,1.0,-52.0,71.73,97,56,2.46
14,Punta Arenas,CL,-53.15,-70.92,37.4,74,100,14.99
15,Dingle,PH,11.0,122.67,84.31,78,99,5.82
16,Atuona,PF,-9.8,-139.03,78.96,75,17,16.06
17,Kapaa,US,22.08,-159.32,82.4,65,90,18.34
18,Hasaki,JP,35.73,140.83,88.0,66,40,3.36
19,Tazovskiy,RU,67.47,78.7,59.45,79,41,9.44
20,Waycross,US,31.21,-82.35,82.4,65,1,5.82
21,Nivala,FI,63.92,24.97,48.99,95,52,2.37
22,Novo Aripuana,BR,-5.12,-60.38,76.64,46,0,2.64
23,Vallenar,CL,-28.57,-70.76,64.47,41,0,0.76
24,Castro,BR,-24.79,-50.01,50.16,90,0,4.25
25,Rikitea,PF,-23.12,-134.97,72.72,80,100,15.55
26,Najran,SA,17.49,44.13,82.4,48,40,9.17
27,Coihaique,CL,-45.58,-72.07,37.4,93,98,5.82
28,Lavrentiya,RU,65.58,-171.0,48.36,66,93,11.97
29,Busselton,AU,-33.65,115.33,50.0,90,11,4.0
30,Iguatemi,BR,-23.68,-54.56,63.61,58,0,5.59
31,Faanui,PF,-16.48,-151.75,78.62,76,88,7.85
32,Vaini,TO,-21.2,-175.2,75.2,83,75,13.87
33,Cherskiy,RU,68.75,161.3,50.5,83,100,4.45
34,Adrar,MR,20.5,-10.07,96.96,14,0,10.29
35,Isiolo,KE,0.35,37.58,64.89,58,16,11.7
36,Khatanga,RU,71.97,102.5,67.12,62,100,7.38
37,Komsomolskiy,UZ,40.43,71.72,75.2,38,0,6.93
38,Puerto Ayora,EC,-0.74,-90.35,68.0,93,65,1.99
39,Chuy,UY,-33.7,-53.46,61.81,89,78,4.52
40,Roald,NO,62.58,6.13,53.6,87,100,4.7
41,Norman Wells,CA,65.28,-126.83,82.4,39,40,2.24
42,North Bend,US,43.41,-124.22,68.0,72,1,6.93
43,Zalantun,CN,48.0,122.72,74.01,67,100,7.2
44,Kavieng,PG,-2.57,150.8,85.14,70,68,6.64
45,Airai,TL,-8.93,125.41,70.9,55,24,3.02
46,Cabo San Lucas,MX,22.89,-109.91,90.0,52,5,10.11
47,Ugoofaaru,MV,5.67,73.0,82.6,79,98,16.31
48,Provideniya,RU,64.38,-173.3,53.6,58,40,11.18
49,Bredasdorp,ZA,-34.53,20.04,42.8,93,0,3.36
50,Buala,SB,-8.14,159.59,86.14,66,29,6.49
51,Shar,KZ,49.59,81.05,67.84,55,3,3.56
52,Sao Filipe,CV,14.9,-24.5,78.62,85,22,9.33
53,Awbari,LY,26.59,12.78,81.81,16,0,9.62
54,Tupik,RU,54.43,119.93,58.69,91,100,7.34
55,New Norfolk,AU,-42.78,147.06,46.99,70,4,3.0
56,Bengkulu,ID,-3.8,102.27,79.86,81,35,2.19
57,Rovaniemi,FI,66.5,25.72,46.4,93,0,4.7
58,Kiruna,SE,67.86,20.23,48.2,87,82,4.03
59,Mahebourg,MU,-20.41,57.7,69.8,60,75,17.22
60,Hilo,US,19.73,-155.09,84.2,58,20,9.17
61,Bay Roberts,CA,47.6,-53.26,60.01,1,0,4.18
62,Pangnirtung,CA,66.15,-65.71,50.31,71,54,2.89
63,Tautira,PF,-17.73,-149.15,80.6,69,75,6.93
64,Natal,BR,-5.79,-35.21,73.4,88,15,6.93
65,Nizhniy Odes,RU,63.64,54.86,51.55,96,100,8.48
66,Constitucion,CL,-35.33,-72.42,53.24,90,15,3.04
67,Saint-Louis,SN,16.33,-15.0,81.3,71,93,16.26
68,Ranong,TH,9.97,98.63,82.4,83,75,11.41
69,Magadan,RU,59.57,150.8,62.94,55,10,3.04
70,Pielesti,RO,44.33,23.95,66.99,67,29,10.29
71,Hamilton,US,39.18,-84.53,75.0,78,75,4.7
72,Mataura,NZ,-46.19,168.86,56.91,76,98,1.86
73,Avarua,CK,-21.21,-159.78,73.4,60,17,4.7
74,Hazorasp,UZ,41.32,61.07,69.8,60,0,4.7
75,Dikson,RU,73.51,80.55,53.02,79,100,13.0
76,Atasu,KZ,48.68,71.64,72.18,51,82,15.93
77,San Patricio,MX,19.22,-104.7,89.6,84,40,13.87
78,Georgetown,MY,5.41,100.34,86.0,70,20,5.82
79,Hermanus,ZA,-34.42,19.23,53.01,94,0,10.92
80,Ponta Do Sol,PT,32.67,-17.1,69.8,73,20,10.29
81,Port Alfred,ZA,-33.59,26.89,69.87,24,0,12.71
82,Hay River,CA,60.82,-115.8,84.2,58,75,5.82
83,Butaritari,KI,3.07,172.79,82.9,73,56,17.36
84,Port Blair,IN,11.67,92.75,82.69,80,100,26.22
85,Kupang,ID,-10.17,123.58,84.2,51,20,8.05
86,Bonthe,SL,7.53,-12.51,75.11,87,77,8.32
87,Tasiilaq,GL,65.61,-37.64,48.2,61,94,6.93
88,Springville,US,40.17,-111.61,100.4,7,40,5.82
89,Longyearbyen,SJ,78.22,15.64,46.4,93,75,1.81
90,Kachug,RU,53.96,105.88,70.79,51,17,8.52
91,Naze,JP,28.37,129.48,87.8,70,20,10.29
92,Carahue,CL,-38.7,-73.17,48.2,100,100,2.24
93,Lovozero,RU,68.0,35.01,48.69,82,100,7.09
94,Xining,CN,36.62,101.77,63.5,55,100,5.95
95,Flinders,AU,-34.58,150.86,64.99,46,100,11.99
96,Jamestown,US,42.1,-79.24,66.99,93,90,17.22
97,Tacna,PE,-18.01,-70.25,51.78,91,20,2.19
98,Katsuura,JP,35.13,140.3,84.99,74,20,5.82
99,Wanning,CN,18.8,110.4,85.37,77,100,3.96
100,Husavik,IS,66.04,-17.34,50.0,93,90,4.7
101,Madang,PG,-5.22,145.8,88.34,55,20,6.76
102,Mitoc,RO,48.1,27.03,57.2,71,84,4.7
103,Mar Del Plata,AR,-38.0,-57.56,48.99,93,93,2.24
104,Port-Gentil,GA,-0.72,8.78,73.96,78,100,12.37
105,San Juan Del Sur,NI,11.25,-85.87,81.21,85,53,3.62
106,Thompson,CA,55.74,-97.86,77.0,38,20,3.36
107,Camana,PE,-16.62,-72.71,59.31,78,63,6.76
108,Homer,US,59.64,-151.55,57.2,87,90,10.29
